Precio,Expensas,Barrio,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Latitud,Longitud,Link,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Categoria_Seguridad,Subte_Cerca,Percentil_Precio_Barrio,Score
146000,170000,Saavedra,2.0,1.0,3.0,,55.0,55.0,-34.539597,-58.47584,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--17603820,0,0,0,0,1,0,0,1,1,2654.5454545454545,1.0,0.763811334204586,Segura,0.0,0.6468531468531469,4.0
75000,130000,Saavedra,1.0,1.0,1.0,9.0,26.0,31.0,-34.55479,-58.48257,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--19253874,1,0,1,1,0,0,1,1,0,2419.3548387096776,0.8387096774193549,0.8314126173220863,Segura,0.0,0.513986013986014,3.5
205000,300000,Saavedra,1.0,1.0,2.0,10.0,54.0,90.0,-34.54707,-58.477646,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18745507,1,0,0,0,1,0,1,1,0,2277.777777777778,0.6,0.9526553403825591,Muy Segura,0.0,0.43356643356643354,6.0
85000,55000,Saavedra,1.0,1.0,1.0,,33.0,33.0,-34.55539,-58.48636,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--18575751,0,0,0,1,0,0,0,0,1,2575.757575757576,1.0,0.8677082095758584,Segura,0.0,0.6118881118881119,1.0
169000,90000,Saavedra,2.0,1.0,3.0,,70.0,77.0,-34.54404,-58.48052,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--16422186,1,0,0,1,0,0,1,1,1,2194.805194805195,0.9090909090909091,0.9507544255673043,Muy Segura,0.0,0.38286713286713286,5.0
123000,265000,Saavedra,2.0,1.0,3.0,50.0,53.0,61.0,-34.55286,-58.48753,https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18212597,0,0,0,1,0,0,1,0,0,2016.3934426229507,0.8688524590163934,0.7862658904597838,Segura,0.0,0.22377622377622378,0.0
185000,320000,Saavedra,2.0,1.0,2.0,10.0,60.0,60.0,-34.553726,-58.473938,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18622660,1,1,1,0,1,0,1,0,0,3083.3333333333335,1.0,0.9386360936200546,Muy Segura,0.0,0.8636363636363636,7.5
185000,200000,Saavedra,3.0,1.0,4.0,46.0,78.0,83.0,-34.54932,-58.47117,https://www.argenprop.com/departamento-en-venta-en-saavedra-4-ambientes--18896259,0,0,0,0,0,1,1,0,0,2228.9156626506024,0.9397590361445783,0.7845431864084591,Segura,0.0,0.4020979020979021,3.0
78000,138000,Saavedra,1.0,1.0,1.0,8.0,26.0,37.0,,,https://www.argenprop.com/departamento-en-venta-en-saavedra-1-ambiente--18566808,1,0,0,1,0,0,1,1,0,2108.108108108108,0.7027027027027027,,,,0.3111888111888112,3.0
135000,150000,Saavedra,1.0,1.0,2.0,10.0,53.0,64.0,-34.55745,,https://www.argenprop.com/departamento-en-venta-en-saavedra-2-ambientes--18764541,0,0,1,0,1,0,1,1,0,2109.375,0.828125,,,,0.3146853146853147,3.5
