Precio,Expensas,Dormitorios,Banos,Ambientes,Antiguedad,Sup_Cubierta_m2,Sup_Total_m2,Amenities,Losa_Central,Aire_Acond,Apto_Credito,Cochera,Seguridad,Luminoso,Balcon_Aterrazado,A_Estrenar,Precio_m2,Proporcion_Cubierta,Indice_Seguridad,Subte_Cerca,Barrio_Almagro,Barrio_Balvanera,Barrio_Belgrano,Barrio_Boedo,Barrio_Caballito,Barrio_Chacarita,Barrio_Constitucion,Barrio_Flores,Barrio_Floresta,Barrio_La Boca,Barrio_Nuñez,Barrio_Palermo,Barrio_Parque Patricios,Barrio_Puerto Madero,Barrio_Recoleta,Barrio_Retiro,Barrio_Saavedra,Barrio_San Nicolás,Barrio_San Telmo,Barrio_Villa Urquiza,Barrio_Villa del Parque,Categoria_Seguridad_Insegura,Categoria_Seguridad_Muy Insegura,Categoria_Seguridad_Muy Segura,Categoria_Seguridad_Segura,Prediccion_Precio
75000,130000,1.0,1.0,1.0,9.0,26.0,31.0,1,0,1,1,0,0,1,1,0,2419.3548387096776,0.8387096774193549,0.8314126173220863,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,81729.75
205000,300000,1.0,1.0,2.0,10.0,54.0,90.0,1,0,0,0,1,0,1,1,0,2277.777777777778,0.6,0.9526553403825592,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,205500.33
123000,265000,2.0,1.0,3.0,50.0,53.0,61.0,0,0,0,1,0,0,1,0,0,2016.3934426229507,0.8688524590163934,0.7862658904597838,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,126126.15
185000,320000,2.0,1.0,2.0,10.0,60.0,60.0,1,1,1,0,1,0,1,0,0,3083.333333333333,1.0,0.9386360936200546,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,204727.6
185000,200000,3.0,1.0,4.0,46.0,78.0,83.0,0,0,0,0,0,1,1,0,0,2228.9156626506024,0.9397590361445785,0.7845431864084591,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,158259.58
78000,138000,1.0,1.0,1.0,8.0,26.0,37.0,1,0,0,1,0,0,1,1,0,2108.108108108108,0.7027027027027027,0.9145479386954972,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81089.9
135000,150000,1.0,1.0,2.0,10.0,53.0,64.0,0,0,1,0,1,0,1,1,0,2109.375,0.828125,0.9145479386954972,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158307.48
219000,220000,2.0,2.0,3.0,11.0,68.0,68.0,1,0,0,1,1,0,1,1,0,3220.5882352941176,1.0,0.925092075561364,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,196504.5
173000,250000,2.0,1.0,3.0,8.0,69.0,83.0,1,0,0,1,1,0,1,1,0,2084.3373493975905,0.8313253012048193,0.9168349768326008,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,201962.16
212000,290000,2.0,2.0,3.0,6.0,71.0,71.0,1,0,1,0,1,0,1,0,0,2985.9154929577467,1.0,0.9455269098253536,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,233884.02
95000,75000,1.0,1.0,1.0,5.0,40.0,43.0,0,0,1,1,0,0,1,0,0,2209.3023255813955,0.9302325581395348,0.9817630984911488,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,96553.87
111900,120000,1.0,1.0,2.0,10.0,36.0,38.0,1,0,1,1,0,1,0,0,1,2944.736842105264,0.9473684210526316,0.9145479386954972,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103700.5
169000,365000,3.0,2.0,4.0,50.0,79.0,95.0,0,0,0,1,0,0,1,0,0,1778.9473684210527,0.8315789473684211,0.8197101104906737,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,172570.06
85000,89000,1.0,1.0,2.0,50.0,41.0,41.0,0,0,0,1,0,0,1,0,0,2073.170731707317,1.0,0.9768326006890816,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,77867.93
128000,250000,1.0,1.0,2.0,20.0,47.0,47.0,1,0,0,0,0,1,0,0,0,2723.404255319149,1.0,0.9145479386954972,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,119303.37
118000,103880,1.0,1.0,1.0,5.0,28.0,28.0,1,0,0,1,1,0,1,0,0,4214.285714285715,1.0,0.9116074610906498,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,89993.58
